username,full_name,password,uid,primary_group,secondary_groups,shell,sudo_enabled,quota,comments
developer1,Dev User One,TempPass123,1500,developers,"docker,sudo",/bin/zsh,true,50GB,Senior Developer
developer2,Dev User Two,TempPass456,1501,developers,"docker",/bin/zsh,false,30GB,Junior Developer
dbadmin,Database Admin,SecureDB789,1502,dba,"sudo,backup",/usr/bin/bash,true,20GB,Database Administrator
mediauser,Media User,MediaPass321,1503,media,"plex,jellyfin",/usr/bin/bash,false,2TB,Media Server User
sysadmin,System Admin,AdminPass654,1504,wheel,"sudo,docker",/usr/bin/bash,true,100GB,System Administrator
backupuser,Backup User,BackupPass987,1505,backup,,/usr/bin/bash,false,10GB,Backup Operations
testuser1,Test User One,,1506,users,,/usr/bin/bash,false,5GB,Testing Account
testuser2,Test User Two,,1507,users,,/usr/bin/bash,false,5GB,Testing Account
contractor1,John Contractor,ContPass111,1508,contractors,"docker",/bin/bash,false,25GB,External Contractor
contractor2,Jane Contractor,ContPass222,1509,contractors,,/bin/bash,false,25GB,External Contractor
